timestamp,cores,current_replicas,desired_replicas,max_replicas,service,architecture
1757890387,0.0073030814177712,1,1,10,ads,decoupled
1757890387,0.0046518099138709,1,1,10,cartcache,decoupled
1757890387,0.0099884718891939,1,1,10,catalog,decoupled
1757890387,0.0033611552757806,1,1,10,checkout,decoupled
1757890387,0.016279011467745,2,2,10,currency,decoupled
1757890387,0.0010761344372305,1,1,10,email,decoupled
1757890387,0.0433668088517691,3,3,10,frontend,decoupled
1757890387,0.0010475367422087,1,1,10,payment,decoupled
1757890387,0.0163280469804359,2,2,10,cart,decoupled
1757890387,0.1116252388168146,15,15,110,all_services,decoupled
1757890387,0.0035365964968445,1,1,10,recommendation,decoupled
1757890387,0.0046865853439643,1,1,10,shipping,decoupled
1757890400,0.0046823419141811,1,1,10,shipping,decoupled
1757890400,0.0075633538319848,1,1,10,ads,decoupled
1757890400,0.0047813217329562,1,1,10,cartcache,decoupled
1757890400,0.0104361094086122,1,1,10,catalog,decoupled
1757890400,0.0041345560101196,1,1,10,checkout,decoupled
1757890400,0.0198086050936062,1,1,10,currency,decoupled
1757890400,0.0010769033631289,1,1,10,email,decoupled
1757890400,0.0164868663025804,1,1,10,cart,decoupled
1757890400,0.0502859164840405,1,1,10,frontend,decoupled
1757890400,0.0035613365425712,1,1,10,recommendation,decoupled
1757890400,0.0010418006778293,1,1,10,payment,decoupled
1757890400,0.1238591113616104,11,11,110,all_services,decoupled
1757890414,0.0296688054174716,1,1,10,currency,decoupled
1757890414,0.001593334612232,1,1,10,email,decoupled
1757890414,0.0054685991812757,1,1,10,checkout,decoupled
1757890414,0.0041092882760416,1,1,10,recommendation,decoupled
1757890414,0.0057670647080909,1,1,10,shipping,decoupled
1757890414,0.0098664001067662,1,1,10,catalog,decoupled
1757890414,0.072701512762788,1,1,10,frontend,decoupled
1757890414,0.0046800916597655,1,1,10,cartcache,decoupled
1757890414,0.0167232444878389,1,1,10,cart,decoupled
1757890414,0.0012248689614323,1,1,10,payment,decoupled
1757890414,0.1621411611130263,11,11,110,all_services,decoupled
1757890414,0.0103379509393236,1,1,10,ads,decoupled
1757890429,0.0083944538852282,1,1,10,shipping,decoupled
1757890429,0.0061557769637648,1,1,10,recommendation,decoupled
1757890429,0.0055682167107459,1,1,10,checkout,decoupled
1757890429,0.0015502154206485,1,1,10,payment,decoupled
1757890429,0.0303698759494915,1,1,10,currency,decoupled
1757890429,0.0153597563337998,1,1,10,catalog,decoupled
1757890429,0.0242848731862887,1,1,10,cart,decoupled
1757890429,0.089738754247092,1,1,10,frontend,decoupled
